,Price in Rupees,Ram,Rom,Expandable_GB/TB,Dual_sim,Screen_in_inch,Secondary_Camera(MP),Battery_details,Warranty(Year)
477,60,2,4,5,1,6,4,41,1
478,65,2,4,5,1,9,3,48,1
479,98,0,2,2,1,18,1,22,0
480,62,1,2,2,1,9,3,20,1
481,62,2,4,5,1,6,4,41,1
482,144,5,6,8,1,26,8,39,1
483,136,4,6,8,1,34,10,47,1
484,145,4,6,6,1,25,10,37,1
485,145,4,6,6,1,25,10,37,1
486,6,0,2,2,1,5,2,5,1
487,6,0,2,2,1,5,2,5,1
488,33,0,3,6,1,5,3,15,1
489,30,1,3,6,1,8,3,17,1
490,22,0,2,5,1,2,2,7,0
491,146,7,5,5,1,9,2,22,1
492,33,0,3,6,1,5,3,15,1
493,9,0,2,5,1,7,3,18,0
494,23,0,2,2,1,2,3,7,0
495,25,0,3,5,1,5,3,14,1
496,61,1,4,8,1,22,3,33,1
497,91,3,5,6,1,18,6,34,1
498,76,3,5,6,1,10,4,22,1
499,91,3,5,6,1,18,6,34,1
500,76,3,5,6,1,10,4,22,1
501,34,0,3,6,1,5,3,15,1
502,122,2,4,2,1,9,3,34,0
503,18,0,2,2,1,5,3,9,0
504,58,2,4,5,1,6,3,22,1
505,46,2,3,4,1,9,3,19,1
506,5,0,2,5,1,2,3,5,1
507,18,0,2,2,1,2,3,5,0
508,18,0,3,4,1,7,3,10,1
509,26,1,3,2,1,5,3,5,0
510,149,7,3,2,1,9,3,22,1
511,151,3,5,2,1,9,4,21,1
512,40,1,3,6,1,19,3,41,1
513,40,1,3,6,1,19,3,41,1
514,86,3,5,6,1,24,5,46,1
515,72,2,4,6,1,24,5,46,1
516,86,3,5,6,1,24,5,46,1
517,72,2,4,6,1,24,5,46,1
518,80,2,5,6,1,24,5,46,1
519,111,4,6,6,1,26,9,44,1
520,151,3,5,2,1,9,4,21,1
521,76,3,5,6,1,10,4,22,1
522,46,1,3,3,1,9,4,22,0
523,107,3,5,5,1,29,4,49,0
524,74,2,4,4,1,24,4,33,0
525,31,1,3,5,1,8,3,11,0
526,18,0,2,4,1,2,3,5,0
527,35,0,2,6,1,5,3,15,1
528,17,1,3,2,1,9,3,19,1
529,64,1,4,5,1,9,3,48,1
530,85,3,5,5,1,9,5,41,1
531,96,2,4,5,1,9,5,41,0
532,92,1,4,5,1,5,3,10,0
533,103,2,4,5,1,29,4,45,1
534,62,2,4,5,1,6,4,41,1
535,105,3,5,8,1,29,6,41,1
536,105,3,5,8,1,29,6,41,1
537,89,2,4,8,1,29,4,41,1
538,25,0,3,5,1,5,3,14,1
539,33,0,3,6,1,5,3,15,1
540,91,3,5,6,1,10,4,22,1
541,99,3,5,6,1,27,4,49,1
542,99,3,5,6,1,27,4,49,1
543,66,2,4,6,1,19,3,30,1
544,66,2,4,6,1,19,3,30,1
545,85,2,5,6,1,24,4,43,1
546,124,4,5,6,1,32,10,41,1
547,120,4,6,8,1,31,6,37,0
548,116,4,6,8,1,31,6,37,0
549,100,3,5,6,1,26,6,37,1
550,104,4,5,6,1,31,6,37,0
551,72,2,4,6,1,12,4,22,0
552,72,2,4,6,1,12,4,22,0
553,95,3,5,6,1,25,4,41,0
554,33,0,3,6,1,5,3,15,1
555,121,4,5,6,1,26,3,36,0
556,152,3,6,2,1,9,4,21,1
557,25,0,3,4,1,5,3,13,0
558,56,1,4,6,1,23,4,34,1
559,40,2,4,5,1,8,4,24,1
560,40,2,4,5,1,8,4,24,1
561,9,0,2,5,1,8,3,19,0
562,0,7,5,5,1,0,3,0,0
563,72,2,4,6,1,11,5,22,0
564,62,2,4,6,1,11,5,22,0
565,86,3,6,6,1,14,6,22,0
566,86,3,6,6,1,14,6,22,0
567,80,2,4,8,1,23,8,33,1
568,92,3,5,8,1,23,8,33,1
569,92,3,5,8,1,23,8,33,1
570,109,4,5,6,1,26,9,44,1
571,100,3,5,6,1,26,9,44,1
572,100,3,5,6,1,26,9,44,1
573,109,4,5,6,1,26,9,44,1
574,60,2,4,5,1,6,4,41,1
575,65,2,4,5,1,9,3,48,1
576,98,0,2,2,1,18,1,22,0
577,62,2,4,5,1,6,4,41,1
578,94,3,4,5,1,9,4,34,1
579,62,2,4,6,1,19,3,41,1
580,62,2,4,6,1,19,3,41,1
581,109,4,5,8,1,23,8,33,1
582,18,0,2,2,1,5,2,5,1
583,104,0,1,2,1,3,3,3,0
584,92,0,0,2,1,5,2,5,0
585,68,2,4,5,1,21,6,41,1
586,31,0,3,4,1,6,3,49,0
587,1,0,2,2,1,1,3,1,0
588,80,2,4,5,1,6,4,22,0
589,109,4,5,8,1,23,8,33,1
590,80,2,4,8,1,23,8,33,1
591,104,4,5,8,1,31,6,37,0
592,71,2,5,6,1,9,4,31,1
593,71,2,5,6,1,9,4,31,1
594,61,1,4,8,1,22,3,33,1
595,87,2,4,3,1,26,3,49,0
596,25,1,3,5,1,8,4,24,1
597,40,2,4,5,1,8,4,24,1
598,20,0,2,1,1,5,4,10,0
599,12,0,2,2,1,5,4,10,0
600,40,2,4,5,1,8,4,24,1
601,88,7,4,3,1,26,3,49,0
602,67,1,4,6,1,22,3,46,1
